10048, 10203, 639.29
10098, 10141, 448.48
10065, 10196, 626.17
10112, 10136, 619.40
10055, 10028, 936.10
10022, 10162, 38.34
10114, 10099, 545.18
10065, 10188, 512.54
10011, 10060, 924.89
10175, 10062, 683.80
10137, 10111, 914.62
10215, 10121, 190.96
10002, 10023, 931.48
10193, 10120, 491.32
10156, 10190, 319.99
10136, 10179, 263.11
10175, 10136, 913.05
10216, 10169, 73.09
10165, 10101, 173.02
10214, 10003, 747.91
10178, 10131, 688.53
10014, 10138, 514.03
10097, 10114, 33.42
10059, 10197, 47.63
10185, 10120, 899.47
10080, 10081, 631.92
10200, 10072, 77.97
10010, 10193, 122.98
10181, 10201, 201.69
10127, 10065, 562.13
10132, 10039, 645.40
10053, 10019, 747.12
10151, 10214, 421.53
10127, 10157, 75.28
10182, 10153, 95.84
10067, 10084, 146.08
10198, 10162, 646.52
10160, 10058, 647.63
10036, 10207, 669.47
10142, 10096, 927.63
10080, 10025, 284.98
10124, 10182, 252.53
10176, 10010, 97.24
10038, 10128, 835.85
10220, 10201, 744.26
10171, 10078, 745.65
10161, 10216, 597.88
10215, 10193, 319.49
10051, 10198, 116.72
10045, 10098, 886.46
10111, 10066, 978.73
10120, 10045, 837.98
10136, 10007, 437.59
10116, 10203, 647.42
10057, 10133, 139.69
10108, 10035, 996.75
10129, 10149, 858.31
10000, 10180, 141.02
10118, 10164, 901.49
10064, 10113, 691.66
10038, 10209, 18.54
10145, 10142, 949.48
10190, 10015, 106.20
10099, 10183, 282.73
10183, 10218, 594.05
10007, 10099, 274.38
10070, 10047, 355.29
10147, 10113, 726.44
10002, 10197, 103.69
10027, 10018, 862.57
10098, 10065, 963.13
10191, 10172, 932.95
10161, 10107, 235.36
10155, 10116, 383.20
10047, 10218, 163.45
10219, 10144, 748.91
10110, 10041, 496.44
10038, 10211, 75.16
10114, 10195, 33.57
10100, 10007, 515.23
10161, 10072, 356.74
10103, 10194, 30.36
10006, 10087, 353.46
10087, 10129, 205.50
10101, 10205, 521.89
10051, 10192, 299.12
10142, 10004, 214.57
10195, 10168, 518.18
10174, 10026, 778.84
10001, 10017, 41.82
10144, 10090, 427.93
10196, 10019, 621.43
10081, 10132, 218.86
10046, 10206, 79.38
10135, 10109, 112.47
10072, 10151, 875.04
10039, 10145, 371.39
10127, 10014, 899.70
10116, 10027, 945.29
10128, 10078, 199.14
10157, 10151, 865.66
10145, 10166, 392.91
10163, 10059, 947.63
10131, 10151, 902.27
10090, 10034, 291.76
10110, 10113, 567.10
10185, 10132, 87.44
10054, 10157, 347.64
10119, 10074, 152.79
10079, 10108, 906.38
10021, 10108, 988.26
10042, 10068, 629.98
10044, 10015, 881.82
10145, 10090, 516.06
10006, 10122, 957.08
10013, 10036, 211.65
10213, 10085, 215.55
10095, 10150, 37.43
10094, 10012, 530.35
10001, 10137, 52.79
10075, 10206, 630.32
10053, 10081, 191.34
10185, 10054, 633.32
10062, 10000, 151.72
10142, 10114, 394.00
10110, 10052, 540.08
10133, 10201, 927.38
10071, 10045, 368.35
10182, 10028, 602.46
10008, 10169, 940.02
10220, 10003, 416.98
10162, 10133, 164.24
10052, 10028, 731.56
10059, 10198, 227.44
10068, 10169, 954.58
10063, 10072, 828.10
10193, 10212, 364.53
10157, 10015, 257.19
10060, 10025, 989.21
10063, 10081, 685.35
10198, 10095, 758.77
10132, 10052, 745.42
10030, 10092, 370.81
10114, 10204, 536.01
10034, 10029, 741.21
10066, 10138, 806.62
10204, 10137, 263.12
10059, 10121, 797.43
10082, 10144, 393.51
10154, 10132, 887.43
10051, 10160, 423.06
10219, 10090, 569.90
10146, 10095, 894.62
10015, 10208, 101.02
10014, 10185, 329.20
10011, 10180, 859.77
10019, 10072, 950.26
10126, 10107, 554.36
10133, 10125, 868.24
10126, 10059, 122.72
10214, 10040, 570.58
10180, 10177, 45.58
10006, 10084, 294.50
10167, 10113, 360.85
10045, 10134, 971.24
10156, 10113, 36.90
10107, 10065, 294.69
10179, 10147, 588.69
10117, 10132, 669.04
10019, 10136, 773.66
10057, 10141, 265.82
10040, 10173, 741.28
10018, 10112, 291.23
10081, 10153, 799.10
10107, 10050, 651.75
10042, 10118, 435.76
10155, 10146, 595.42
10006, 10074, 244.01
10064, 10194, 206.93
10141, 10195, 599.41
10151, 10150, 897.32
10115, 10093, 851.34
10049, 10039, 181.79
10133, 10163, 857.67
10191, 10003, 544.01
10155, 10093, 575.18
10186, 10108, 300.15
10089, 10013, 486.30
10160, 10016, 454.31
10147, 10052, 153.06
10166, 10192, 258.28
10107, 10018, 706.19
10174, 10190, 431.25
10136, 10161, 104.81
10068, 10096, 448.76
10075, 10161, 869.72
10160, 10121, 446.81
10215, 10183, 814.04
10042, 10063, 980.03
